epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.921,1.4013,2.00622,1.58293,0.52047,0.47867,0.48029,0.24837,1.79842,1.92632,1.91848,0.000665947,0.000665947,0.000665947
2,322.305,1.45469,1.61666,1.65226,0.64123,0.51765,0.57673,0.32172,1.73035,1.57469,1.87448,0.00128864,0.00128864,0.00128864
3,474.917,1.42963,1.54724,1.62067,0.61123,0.52571,0.54101,0.24274,1.77685,1.77426,1.82361,0.00186733,0.00186733,0.00186733
4,627.755,1.36623,1.42337,1.56991,0.78396,0.64343,0.72573,0.42743,1.47815,1.24978,1.59615,0.001802,0.001802,0.001802
5,793.638,1.29597,1.31124,1.51738,0.73831,0.65036,0.70812,0.40267,1.51955,1.28247,1.60688,0.001736,0.001736,0.001736
6,942.286,1.25304,1.22585,1.47924,0.82939,0.70823,0.79096,0.47857,1.43428,1.09562,1.53375,0.00167,0.00167,0.00167
7,1093.36,1.23049,1.18636,1.45849,0.79221,0.71141,0.79158,0.48399,1.37553,1.09832,1.47649,0.001604,0.001604,0.001604
8,1241.35,1.20575,1.12078,1.43308,0.85837,0.74194,0.82693,0.5083,1.37606,0.97394,1.49001,0.001538,0.001538,0.001538
9,1408.34,1.18468,1.08642,1.4136,0.83453,0.74991,0.8316,0.52171,1.32638,0.95621,1.45154,0.001472,0.001472,0.001472
10,1559.2,1.16485,1.04878,1.40428,0.86292,0.78391,0.86099,0.56646,1.24477,0.89006,1.371,0.001406,0.001406,0.001406
11,1708.04,1.13711,1.01684,1.38346,0.8717,0.78239,0.86967,0.56382,1.25877,0.87998,1.37698,0.00134,0.00134,0.00134
12,1858.19,1.13087,0.99324,1.36908,0.87077,0.79917,0.87717,0.56414,1.28348,0.84457,1.40252,0.001274,0.001274,0.001274
13,2190.68,1.11074,0.96758,1.35575,0.87723,0.79813,0.86786,0.56687,1.23364,0.8194,1.34628,0.001208,0.001208,0.001208
14,2340.13,1.10748,0.94726,1.35024,0.90137,0.81894,0.89789,0.5808,1.23395,0.80131,1.34481,0.001142,0.001142,0.001142
15,2490.36,1.0871,0.91441,1.33612,0.8951,0.81512,0.8989,0.60623,1.20503,0.77806,1.32356,0.001076,0.001076,0.001076
16,2638.33,1.06449,0.88976,1.31311,0.89287,0.83108,0.90315,0.60998,1.17875,0.75716,1.30582,0.00101,0.00101,0.00101
17,2786.48,1.06483,0.88188,1.31428,0.89943,0.84691,0.91246,0.62282,1.15444,0.73149,1.28109,0.000944,0.000944,0.000944
18,2952.12,1.04872,0.85776,1.30195,0.90576,0.83455,0.91239,0.62156,1.16783,0.72858,1.27886,0.000878,0.000878,0.000878
19,3101.58,1.03728,0.83765,1.29281,0.91833,0.84357,0.91752,0.62905,1.15587,0.70614,1.26481,0.000812,0.000812,0.000812
20,3250.96,1.02876,0.81427,1.28491,0.91311,0.85657,0.92157,0.63776,1.12507,0.68508,1.24039,0.000746,0.000746,0.000746
21,3434.36,1.09154,0.71875,1.3039,0.91505,0.86306,0.92639,0.64855,1.11088,0.67566,1.23879,0.00068,0.00068,0.00068
22,3589.08,1.0592,0.6825,1.291,0.93794,0.86611,0.93378,0.66019,1.08698,0.65139,1.22203,0.000614,0.000614,0.000614
23,3736.9,1.04818,0.65335,1.2767,0.91621,0.87721,0.93377,0.6633,1.07525,0.64845,1.2095,0.000548,0.000548,0.000548
24,3885.7,1.02082,0.63248,1.25648,0.93519,0.87929,0.94205,0.67213,1.06867,0.62064,1.20164,0.000482,0.000482,0.000482
25,4034.92,1.00835,0.61638,1.23744,0.93458,0.87548,0.93998,0.67768,1.05149,0.6198,1.18397,0.000416,0.000416,0.000416
26,4182.15,0.98958,0.59937,1.22956,0.92741,0.89039,0.9446,0.68204,1.04576,0.60075,1.18299,0.00035,0.00035,0.00035
27,4328.42,0.97783,0.58621,1.21924,0.93248,0.88727,0.94843,0.68923,1.02647,0.59046,1.16147,0.000284,0.000284,0.000284
28,4476.07,0.9614,0.55971,1.20353,0.9284,0.89945,0.95114,0.6943,1.02173,0.57756,1.15358,0.000218,0.000218,0.000218
29,4625.21,0.94374,0.55109,1.19773,0.93118,0.89639,0.95215,0.69618,1.0107,0.56985,1.14992,0.000152,0.000152,0.000152
30,4774.63,0.93508,0.53945,1.18557,0.93692,0.89768,0.95338,0.6982,1.0089,0.56488,1.14708,8.6e-05,8.6e-05,8.6e-05
